state,AVG(white_perc),AVG(black_perc),AVG(asia_perc),AVG(native_american_perc),AVG(native_hawaiian_perc),AVG(hispanic_perc),AVG(white_non_hispanic_perc),AVG(multi_race_perc),registered_per_total
Maine,95.94999694824219,0.8,0.8,0.45,0,1.4,94.95000076293945,1.75,0.771
Mississippi,59.724998474121094,38,0.525,0.225,0,1.6,58.750000953674316,0.6,0.729
Michigan,80.59285736083984,14.021428571428572,2.057142857142857,0.2357142857142857,0,3.514285714285714,78.128573008946,2.0357142857142856,0.712
"North Dakota",89.5,2.4,0.7,4.7,0,3,87.80000305175781,1.7,0.709
Kentucky,89.36666615804036,7.733333333333333,0.8000000000000002,0,0,1.6666666666666667,88.1999994913737,1.3999999999999997,0.709
Minnesota,87.97500038146973,4.7250000000000005,3.4625,0.7374999999999999,0,3.0375,86.12500095367432,1.9625000000000001,0.708
Missouri,84.30000019073486,11.424999999999999,1.225,0,0.025,2.675,82.41250133514404,1.8625,0.706
Wisconsin,88.33750104904175,6.1625,1.8999999999999997,0.525,0,4.3,85.5625,1.5625,0.705
Montana,90.80000305175781,0,0.5,5.3,0,3,88.5999984741211,2.4,0.704
Iowa,93.87500190734863,2.625,1.35,0.125,0,3.575,90.95000076293945,1.275,0.698
Oregon,87.57999877929687,1.24,3.54,0.64,0,7.659999999999999,82.73999938964843,3.7,0.691
Ohio,83.94374871253967,11.912500000000001,1.3499999999999999,0,0,2.4875,82.13124918937683,1.9312500000000001,0.683
Vermont,95.5,0.9,1.4,0,0,1.7,94.19999694824219,1.6,0.681
Kansas,87.55000114440918,5.799999999999999,1.875,0.725,0,7.1,82.45000267028809,2.6,0.674
"New Hampshire",94.70000076293945,1.4,1.6,0,0,2.95,92.54999923706055,1.55,0.672
Washington,80.67999992370605,3.6,6.8199999999999985,1.2600000000000002,0.29,7.9700000000000015,76.09999923706054,4.45,0.667
Alabama,69.97142900739398,26.714285714285715,0.7,0,0,2.1714285714285717,68.54285594395229,1.3571428571428572,0.664
Maryland,59.08749985694885,30.7125,5.075,0,0,5.75,56.22500038146973,2.6125000000000003,0.663
"South Dakota",88.5999984741211,1.2,0.7,7.4,0,2.6,86.9000015258789,1.8,0.662
Louisiana,64.35000038146973,31.999999999999996,1.1166666666666667,0.19999999999999998,0,3.016666666666666,62.23333485921224,1.433333333333333,0.654
Pennsylvania,83.52777820163303,10.294444444444444,2.4,0,0,5.472222222222222,80.50555610656738,1.6944444444444446,0.652
"North Carolina",71.70769295325645,22.023076923076925,1.8384615384615386,0.9000000000000001,0,4.415384615384616,68.9538465646597,1.9461538461538461,0.652
Virginia,70.63636363636364,19.60909090909091,5.3181818181818175,0,0,5.654545454545455,66.9636362249201,2.7818181818181817,0.651
Alaska,69.19999694824219,3.3,5,14.2,0.8,6,65.5999984741211,6.2,0.644
Utah,90,1.075,1.975,0.9,0.75,9.1,84.35000038146973,2.225,0.642
"Rhode Island",85.25,5.6,2.5,0,0,11.350000000000001,78.0999984741211,2.4,0.642
"West Virginia",94.06666564941406,3.8000000000000003,0.4333333333333333,0,0,0.5666666666666667,93.23333231608073,1.2666666666666668,0.634
Indiana,86.21111128065321,9.155555555555557,1.3,0,0,4.21111111111111,83.62222290039062,1.7777777777777777,0.625
Wyoming,93.30000305175781,0,0.7,2.3,0,7.5,87.19999694824219,1.9,0.624
Illinois,75.10555521647136,14.549999999999999,4.350000000000001,0.03888888888888889,0,12.477777777777776,67.14444488949246,1.8444444444444446,0.624
Delaware,72.4000015258789,22,2.2,0,0,5.4,68.69999694824219,1.8,0.624
"South Carolina",69.24285779680524,26.900000000000002,1.1428571428571428,0,0,2.9714285714285715,67.31428527832031,1.5285714285714285,0.621
Oklahoma,75.8,7.2,1.5399999999999998,7.7,0.02,6.18,71.81999969482422,6.18,0.62
Nebraska,90.36666615804036,4.2,1.3333333333333333,0.6666666666666666,0,6.333333333333333,85.76666768391927,2,0.619
Georgia,61.27142851693289,32.25,2.8357142857142854,0.049999999999999996,0,5.064285714285714,58.1285719190325,1.907142857142857,0.617
"New Jersey",71.56666533152263,13.991666666666667,7.491666666666667,0,0,16.191666666666666,61.308333237965904,2.0583333333333336,0.613
Massachusetts,82.88888931274414,6.722222222222222,4.9,0,0,8.933333333333334,77.7888895670573,2.122222222222222,0.613
Tennessee,79.40000046624078,17.155555555555555,1.088888888888889,0,0,2.4555555555555553,77.6666677263048,1.322222222222222,0.612
Connecticut,80.6,10.18,3.14,0,0,12.379999999999999,73.26000213623047,2.1399999999999997,0.609
Colorado,87.01428549630302,3.6999999999999997,2.3857142857142857,0.32857142857142857,0,16.142857142857142,74.84285845075335,2.842857142857143,0.608
Arizona,80.21111212836371,4.9,2.622222222222222,4.500000000000001,0,24.800000000000004,61.95555644565158,3.1111111111111107,0.608
"New Mexico",78.0999984741211,2.5,1.2666666666666668,9.6,0,43.06666666666666,43.233333587646484,2.466666666666667,0.581
Idaho,92.45000076293945,0,1.3,1.3,0,8.05,87.0999984741211,2.45,0.572
Florida,77.2259265758373,15.537037037037036,2.285185185185185,0,0,21.88518518518519,58.95555591583252,2.05925925925926,0.56
Arkansas,79.67500114440918,15.15,0.9750000000000001,0,0.075,3.825,77.54999923706055,2.025,0.558
"New York",67.60370381673177,15.892592592592587,7.037037037037038,0.09259259259259259,0,15.725925925925926,60.53333353113245,2.462962962962963,0.553
Texas,75.4472221798367,13.744444444444442,3.702777777777778,0.027777777777777776,0,31.936111111111124,49.01944422721863,2.1055555555555556,0.552
Nevada,68.42500019073486,10.075000000000001,7.8,1.325,0,20.575,57.19999885559082,3.7500000000000004,0.55
California,63.01320763354032,6.813207547169811,13.99433962264151,0.3622641509433962,0.11320754716981132,31.845283018867924,44.09433974859849,4.066037735849057,0.519
Hawaii,28,2.3,38.5,0,9,8.7,25.350000381469727,20.9,0.495
"District of Columbia",45.599998474121094,45.8,3.6,0,0,7,41.599998474121094,2.8,NULL
